Continent_Name,Country_Name,country
Asia,Afghanistan,Afghanistan
Europe,Albania,Albania
Antarctica,Antarctica (the territory South of 60 deg S),Antarctica (the territory South of 60 deg S)
Africa,Algeria,Algeria
Oceania,American Samoa,American Samoa
Europe,Andorra,Andorra
Africa,Angola,Angola
North America,Antigua and Barbuda,Antigua and Barbuda
Europe,Azerbaijan,Azerbaijan
Asia,Azerbaijan,Azerbaijan
South America,Argentina,Argentina
Oceania,Australia,Australia
Europe,Austria,Austria
North America,Bahamas,Bahamas
Asia,Bahrain,Bahrain
Asia,Bangladesh,Bangladesh
Europe,Armenia,Armenia
Asia,Armenia,Armenia
North America,Barbados,Barbados
Europe,Belgium,Belgium
North America,Bermuda,Bermuda
Asia,Bhutan,Bhutan
South America,Bolivia,Bolivia
Europe,Bosnia and Herzegovina,Bosnia and Herzegovina
Africa,Botswana,Botswana
Antarctica,Bouvet Island (Bouvetoya),Bouvet Island (Bouvetoya)
South America,Brazil,Brazil
North America,Belize,Belize
Asia,British Indian Ocean Territory (Chagos Archipelago),British Indian Ocean Territory (Chagos Archipelago)
Oceania,Solomon Islands,Solomon Islands
North America,British Virgin Islands,British Virgin Islands
Asia,Brunei Darussalam,Brunei Darussalam
Europe,Bulgaria,Bulgaria
Asia,Myanmar,Myanmar
Africa,Burundi,Burundi
Europe,Belarus,Belarus
Asia,Cambodia,Cambodia
Africa,Cameroon,Cameroon
North America,Canada,Canada
Africa,Cape Verde,Cape Verde
North America,Cayman Islands,Cayman Islands
Africa,Central African Republic,Central African Republic
Asia,Sri Lanka,Sri Lanka
Africa,Chad,Chad
South America,Chile,Chile
Asia,China,China
Asia,Taiwan,Taiwan
Asia,Christmas Island,Christmas Island
Asia,Cocos (Keeling) Islands,Cocos (Keeling) Islands
South America,Colombia,Colombia
Africa,Comoros,Comoros
Africa,Mayotte,Mayotte
Africa,Congo,Congo
Africa,Congo,Congo
Oceania,Cook Islands,Cook Islands
North America,Costa Rica,Costa Rica
Europe,Croatia,Croatia
North America,Cuba,Cuba
Europe,Cyprus,Cyprus
Asia,Cyprus,Cyprus
Europe,Czech Republic,Czech Republic
Africa,Benin,Benin
Europe,Denmark,Denmark
North America,Dominica,Dominica
North America,Dominican Republic,Dominican Republic
South America,Ecuador,Ecuador
North America,El Salvador,El Salvador
Africa,Equatorial Guinea,Equatorial Guinea
Africa,Ethiopia,Ethiopia
Africa,Eritrea,Eritrea
Europe,Estonia,Estonia
Europe,Faroe Islands,Faroe Islands
South America,Falkland Islands (Malvinas),Falkland Islands (Malvinas)
Antarctica,South Georgia and the South Sandwich Islands,South Georgia and the South Sandwich Islands
Oceania,Fiji,Fiji
Europe,Finland,Finland
