Sensor,Date_Time,Date,Time,Count
Bourke Street Mall (North),2018-12-31T13:00:00Z,2019-01-01,0,918
Bourke Street Mall (South),2018-12-31T13:00:00Z,2019-01-01,0,770
Melbourne Central,2018-12-31T13:00:00Z,2019-01-01,0,NA
Town Hall (West),2018-12-31T13:00:00Z,2019-01-01,0,3025
Princes Bridge,2018-12-31T13:00:00Z,2019-01-01,0,531
Flinders Street Station Underpass,2018-12-31T13:00:00Z,2019-01-01,0,3284
Birrarung Marr,2018-12-31T13:00:00Z,2019-01-01,0,2733
Webb Bridge,2018-12-31T13:00:00Z,2019-01-01,0,762
Southern Cross Station,2018-12-31T13:00:00Z,2019-01-01,0,1830
Victoria Point,2018-12-31T13:00:00Z,2019-01-01,0,1217
Waterfront City,2018-12-31T13:00:00Z,2019-01-01,0,1339
New Quay,2018-12-31T13:00:00Z,2019-01-01,0,4003
Flagstaff Station,2018-12-31T13:00:00Z,2019-01-01,0,NA
Sandridge Bridge,2018-12-31T13:00:00Z,2019-01-01,0,701
State Library,2018-12-31T13:00:00Z,2019-01-01,0,1548
Collins St (North),2018-12-31T13:00:00Z,2019-01-01,0,1441
Collins Place (South),2018-12-31T13:00:00Z,2019-01-01,0,769
Collins Place (North),2018-12-31T13:00:00Z,2019-01-01,0,440
Chinatown-Swanston St (North),2018-12-31T13:00:00Z,2019-01-01,0,633
Chinatown-Lt Bourke St (South),2018-12-31T13:00:00Z,2019-01-01,0,494
Bourke St-Russell St (West),2018-12-31T13:00:00Z,2019-01-01,0,1745
Flinders St-Elizabeth St (East),2018-12-31T13:00:00Z,2019-01-01,0,NA
Spencer St-Collins St (South),2018-12-31T13:00:00Z,2019-01-01,0,577
Spencer St-Collins St (North),2018-12-31T13:00:00Z,2019-01-01,0,1867
Melbourne Convention Exhibition Centre,2018-12-31T13:00:00Z,2019-01-01,0,3658
QV Market-Elizabeth St (West),2018-12-31T13:00:00Z,2019-01-01,0,637
QV Market-Peel St,2018-12-31T13:00:00Z,2019-01-01,0,137
The Arts Centre,2018-12-31T13:00:00Z,2019-01-01,0,2800
St Kilda Rd-Alexandra Gardens,2018-12-31T13:00:00Z,2019-01-01,0,1360
Lonsdale St (South),2018-12-31T13:00:00Z,2019-01-01,0,759
Lygon St (West),2018-12-31T13:00:00Z,2019-01-01,0,192
City Square,2018-12-31T13:00:00Z,2019-01-01,0,NA
Flinders St-Spring St (West),2018-12-31T13:00:00Z,2019-01-01,0,617
Flinders St-Spark La,2018-12-31T13:00:00Z,2019-01-01,0,802
Southbank,2018-12-31T13:00:00Z,2019-01-01,0,2802
Queen St (West),2018-12-31T13:00:00Z,2019-01-01,0,775
Lygon St (East),2018-12-31T13:00:00Z,2019-01-01,0,125
Flinders St-Swanston St (West),2018-12-31T13:00:00Z,2019-01-01,0,1286
Alfred Place,2018-12-31T13:00:00Z,2019-01-01,0,207
Lonsdale St-Spring St (West),2018-12-31T13:00:00Z,2019-01-01,0,539
Grattan St-Swanston St (West),2018-12-31T13:00:00Z,2019-01-01,0,16
Monash Rd-Swanston St (West),2018-12-31T13:00:00Z,2019-01-01,0,10
Tin Alley-Swanston St (West),2018-12-31T13:00:00Z,2019-01-01,0,20
Bourke Street Mall (North),2018-12-31T14:00:00Z,2019-01-01,1,995
Bourke Street Mall (South),2018-12-31T14:00:00Z,2019-01-01,1,635
Melbourne Central,2018-12-31T14:00:00Z,2019-01-01,1,NA
Town Hall (West),2018-12-31T14:00:00Z,2019-01-01,1,3077
Princes Bridge,2018-12-31T14:00:00Z,2019-01-01,1,3854
Flinders Street Station Underpass,2018-12-31T14:00:00Z,2019-01-01,1,2751
Birrarung Marr,2018-12-31T14:00:00Z,2019-01-01,1,1086
Webb Bridge,2018-12-31T14:00:00Z,2019-01-01,1,336
Southern Cross Station,2018-12-31T14:00:00Z,2019-01-01,1,656
Victoria Point,2018-12-31T14:00:00Z,2019-01-01,1,470
Waterfront City,2018-12-31T14:00:00Z,2019-01-01,1,352
New Quay,2018-12-31T14:00:00Z,2019-01-01,1,1518
Flagstaff Station,2018-12-31T14:00:00Z,2019-01-01,1,NA
Sandridge Bridge,2018-12-31T14:00:00Z,2019-01-01,1,2172
State Library,2018-12-31T14:00:00Z,2019-01-01,1,1494
Collins St (North),2018-12-31T14:00:00Z,2019-01-01,1,750
Collins Place (South),2018-12-31T14:00:00Z,2019-01-01,1,246
Collins Place (North),2018-12-31T14:00:00Z,2019-01-01,1,192
Chinatown-Swanston St (North),2018-12-31T14:00:00Z,2019-01-01,1,908
Chinatown-Lt Bourke St (South),2018-12-31T14:00:00Z,2019-01-01,1,361
Bourke St-Russell St (West),2018-12-31T14:00:00Z,2019-01-01,1,1722
Flinders St-Elizabeth St (East),2018-12-31T14:00:00Z,2019-01-01,1,NA
Spencer St-Collins St (South),2018-12-31T14:00:00Z,2019-01-01,1,416
Spencer St-Collins St (North),2018-12-31T14:00:00Z,2019-01-01,1,1838
Melbourne Convention Exhibition Centre,2018-12-31T14:00:00Z,2019-01-01,1,2122
QV Market-Elizabeth St (West),2018-12-31T14:00:00Z,2019-01-01,1,719
QV Market-Peel St,2018-12-31T14:00:00Z,2019-01-01,1,165
The Arts Centre,2018-12-31T14:00:00Z,2019-01-01,1,1746
St Kilda Rd-Alexandra Gardens,2018-12-31T14:00:00Z,2019-01-01,1,1896
Lonsdale St (South),2018-12-31T14:00:00Z,2019-01-01,1,1154
Lygon St (West),2018-12-31T14:00:00Z,2019-01-01,1,141
City Square,2018-12-31T14:00:00Z,2019-01-01,1,NA
Flinders St-Spring St (West),2018-12-31T14:00:00Z,2019-01-01,1,248
Flinders St-Spark La,2018-12-31T14:00:00Z,2019-01-01,1,374
Southbank,2018-12-31T14:00:00Z,2019-01-01,1,6096
Queen St (West),2018-12-31T14:00:00Z,2019-01-01,1,607
Lygon St (East),2018-12-31T14:00:00Z,2019-01-01,1,78
Flinders St-Swanston St (West),2018-12-31T14:00:00Z,2019-01-01,1,934
Alfred Place,2018-12-31T14:00:00Z,2019-01-01,1,99
